geo,agr_inp,unit,value
AT,ACS_INET,EUR,7081841120
AT11,ACS_INET,EUR,426684780
AT12,ACS_INET,EUR,2263485710
AT13,ACS_INET,EUR,116880640
AT21,ACS_INET,EUR,362274690
AT22,ACS_INET,EUR,1259690220
AT31,ACS_INET,EUR,1804223270
AT32,ACS_INET,EUR,325865920
AT33,ACS_INET,EUR,380920150
AT34,ACS_INET,EUR,141815760
BE,ACS_INET,EUR,8376670360
BE10,ACS_INET,EUR,6349410
BE21,ACS_INET,EUR,1576795010
BE22,ACS_INET,EUR,769612320
BE23,ACS_INET,EUR,1292774880
BE24,ACS_INET,EUR,418689590
BE25,ACS_INET,EUR,2255279260
BE31,ACS_INET,EUR,199101890
BE32,ACS_INET,EUR,642654270
BE33,ACS_INET,EUR,480236040
BE34,ACS_INET,EUR,308125320
BE35,ACS_INET,EUR,427052370
CY,ACS_INET,EUR,215654860
CY00,ACS_INET,EUR,215654860
CZ,ACS_INET,EUR,6504955260
CZ01,ACS_INET,EUR,21238350
CZ02,ACS_INET,EUR,1160835390
CZ03,ACS_INET,EUR,1044731210
CZ04,ACS_INET,EUR,416766520
CZ05,ACS_INET,EUR,1123042270
CZ06,ACS_INET,EUR,1775832540
CZ07,ACS_INET,EUR,674758990
CZ08,ACS_INET,EUR,287749990
DE,ACS_INET,EUR,49790735590
DE11,ACS_INET,EUR,1441784420
DE12,ACS_INET,EUR,470757130
DE13,ACS_INET,EUR,1022266560
DE14,ACS_INET,EUR,1705081200
DE21,ACS_INET,EUR,2309660520
DE22,ACS_INET,EUR,1739935520
DE23,ACS_INET,EUR,1065474020
DE24,ACS_INET,EUR,652761200
DE25,ACS_INET,EUR,842772480
DE26,ACS_INET,EUR,773498320
DE27,ACS_INET,EUR,1593456800
DE30,ACS_INET,EUR,4191570
DE40,ACS_INET,EUR,2034493220
DE50,ACS_INET,EUR,18752430
DE60,ACS_INET,EUR,146112890
DE71,ACS_INET,EUR,627754330
DE72,ACS_INET,EUR,324537670
DE73,ACS_INET,EUR,649025250
DE80,ACS_INET,EUR,
DE91,ACS_INET,EUR,834476030
DE92,ACS_INET,EUR,
DE93,ACS_INET,EUR,3167676020
DE94,ACS_INET,EUR,6214412940
DEA1,ACS_INET,EUR,1708045350
DEA2,ACS_INET,EUR,977808540
DEA3,ACS_INET,EUR,
DEA4,ACS_INET,EUR,1178422090
DEA5,ACS_INET,EUR,806976110
DEB1,ACS_INET,EUR,467482470
DEB2,ACS_INET,EUR,413508630
DEB3,ACS_INET,EUR,1237058570
DEC0,ACS_INET,EUR,104267730
DED2,ACS_INET,EUR,769950580
DED4,ACS_INET,EUR,751867610
DED5,ACS_INET,EUR,499523320
DEE0,ACS_INET,EUR,2251991260
DEF0,ACS_INET,EUR,3047097430
DEG0,ACS_INET,EUR,1523390860
DK,ACS_INET,EUR,10759025830
DK01,ACS_INET,EUR,286051530
DK02,ACS_INET,EUR,1268650500
DK03,ACS_INET,EUR,3591702810
DK04,ACS_INET,EUR,3353076230
DK05,ACS_INET,EUR,2259544750
EE,ACS_INET,EUR,1005826080
EE00,ACS_INET,EUR,1005826080
FI,ACS_INET,EUR,3426916670
FI19,ACS_INET,EUR,1283401380
FI1B,ACS_INET,EUR,173624250
FI1C,ACS_INET,EUR,837947030
FI1D,ACS_INET,EUR,1105360460
FI20,ACS_INET,EUR,26583550
FR,ACS_INET,EUR,62951271330
FR10,ACS_INET,EUR,989743720
FRB0,ACS_INET,EUR,3788701200
FRC1,ACS_INET,EUR,3514380350
FRC2,ACS_INET,EUR,1113520630
FRD1,ACS_INET,EUR,2664994800
FRD2,ACS_INET,EUR,1824799850
FRE1,ACS_INET,EUR,2829197260
FRE2,ACS_INET,EUR,3131408350
FRF1,ACS_INET,EUR,1353464610
FRF2,ACS_INET,EUR,4707059870
FRF3,ACS_INET,EUR,1611214440
FRG0,ACS_INET,EUR,6148289410
FRH0,ACS_INET,EUR,6955901920
FRI1,ACS_INET,EUR,4811750580
FRI2,ACS_INET,EUR,891232050
FRI3,ACS_INET,EUR,3761476210
FRJ1,ACS_INET,EUR,2183806320
FRJ2,ACS_INET,EUR,3035250630
FRK1,ACS_INET,EUR,1551627460
FRK2,ACS_INET,EUR,2970484610
FRL0,ACS_INET,EUR,2561539740
FRM0,ACS_INET,EUR,218566520
FRY1,ACS_INET,EUR,41255480
FRY2,ACS_INET,EUR,95772540
FRY3,ACS_INET,EUR,11017710
FRY4,ACS_INET,EUR,184031370
FRY5,ACS_INET,EUR,783700
HR,ACS_INET,EUR,1933267070
HR02,ACS_INET,EUR,1225407430
HR03,ACS_INET,EUR,234863230
HR05,ACS_INET,EUR,19225330
HR06,ACS_INET,EUR,453771080
HU,ACS_INET,EUR,7544898330
HU11,ACS_INET,EUR,11389860
HU12,ACS_INET,EUR,397679250
HU21,ACS_INET,EUR,888046350
