geo,ind_type,year,value
AL,IND_DEG1,2023,29.97
AL,IND_DEG1,2025,32.81
AT,IND_DEG1,2021,70.82
AT,IND_DEG1,2023,70.85
AT,IND_DEG1,2025,72.88
BA,IND_DEG1,2023,38.00
BA,IND_DEG1,2025,41.32
BE,IND_DEG1,2021,55.83
BE,IND_DEG1,2023,57.37
BE,IND_DEG1,2025,61.60
BG,IND_DEG1,2021,43.10
BG,IND_DEG1,2023,46.31
BG,IND_DEG1,2025,47.73
CH,IND_DEG1,2021,80.16
CH,IND_DEG1,2023,80.91
CH,IND_DEG1,2025,80.74
CY,IND_DEG1,2021,52.80
CY,IND_DEG1,2023,47.54
CY,IND_DEG1,2025,57.53
CZ,IND_DEG1,2021,68.58
CZ,IND_DEG1,2023,75.05
CZ,IND_DEG1,2025,76.10
DE,IND_DEG1,2021,53.04
DE,IND_DEG1,2023,57.25
DE,IND_DEG1,2025,65.32
DK,IND_DEG1,2021,75.28
DK,IND_DEG1,2023,76.64
DK,IND_DEG1,2025,85.54
EA,IND_DEG1,2021,62.29
EA,IND_DEG1,2023,63.72
EA,IND_DEG1,2025,67.66
EE,IND_DEG1,2021,61.99
EE,IND_DEG1,2023,68.92
EE,IND_DEG1,2025,66.51
EL,IND_DEG1,2021,61.05
EL,IND_DEG1,2023,60.00
EL,IND_DEG1,2025,57.29
ES,IND_DEG1,2021,69.28
ES,IND_DEG1,2023,71.96
ES,IND_DEG1,2025,70.21
EU27_2020,IND_DEG1,2021,60.95
EU27_2020,IND_DEG1,2023,62.55
EU27_2020,IND_DEG1,2025,66.50
FI,IND_DEG1,2021,83.17
FI,IND_DEG1,2023,89.02
FI,IND_DEG1,2025,87.21
FR,IND_DEG1,2021,67.28
FR,IND_DEG1,2023,65.09
FR,IND_DEG1,2025,68.96
HR,IND_DEG1,2021,73.59
HR,IND_DEG1,2023,66.91
HR,IND_DEG1,2025,71.73
HU,IND_DEG1,2021,59.69
HU,IND_DEG1,2023,69.34
HU,IND_DEG1,2025,69.25
IE,IND_DEG1,2021,75.81
IE,IND_DEG1,2023,73.06
IE,IND_DEG1,2025,84.84
IS,IND_DEG1,2021,83.60
IT,IND_DEG1,2021,49.92
IT,IND_DEG1,2023,50.84
IT,IND_DEG1,2025,58.27
LT,IND_DEG1,2021,55.20
LT,IND_DEG1,2023,60.26
LT,IND_DEG1,2025,61.05
LU,IND_DEG1,2021,77.89
LU,IND_DEG1,2023,66.15
LU,IND_DEG1,2025,68.83
LV,IND_DEG1,2021,55.31
LV,IND_DEG1,2023,57.59
LV,IND_DEG1,2025,60.16
MK,IND_DEG1,2021,45.23
MK,IND_DEG1,2025,39.93
MT,IND_DEG1,2021,61.97
MT,IND_DEG1,2023,64.02
MT,IND_DEG1,2025,65.37
NL,IND_DEG1,2021,80.54
NL,IND_DEG1,2023,83.66
NL,IND_DEG1,2025,85.82
NO,IND_DEG1,2021,83.66
NO,IND_DEG1,2023,87.03
NO,IND_DEG1,2025,83.85
PL,IND_DEG1,2021,52.72
PL,IND_DEG1,2023,55.44
PL,IND_DEG1,2025,60.87
PT,IND_DEG1,2021,63.98
PT,IND_DEG1,2023,63.86
PT,IND_DEG1,2025,65.48
RO,IND_DEG1,2021,37.59
RO,IND_DEG1,2023,38.22
RO,IND_DEG1,2025,44.33
SE,IND_DEG1,2021,74.84
SE,IND_DEG1,2023,71.77
SE,IND_DEG1,2025,75.11
SI,IND_DEG1,2021,61.82
SI,IND_DEG1,2023,50.72
SI,IND_DEG1,2025,55.05
SK,IND_DEG1,2021,65.10
SK,IND_DEG1,2023,61.77
SK,IND_DEG1,2025,66.87
TR,IND_DEG1,2025,36.43
XK,IND_DEG1,2025,77.18
AL,IND_DEG3,2023,15.82
AL,IND_DEG3,2025,23.97
AT,IND_DEG3,2021,58.61
AT,IND_DEG3,2023,59.24
AT,IND_DEG3,2025,66.78
BA,IND_DEG3,2023,24.26
BA,IND_DEG3,2025,32.44
BE,IND_DEG3,2021,51.90
BE,IND_DEG3,2023,59.34
BE,IND_DEG3,2025,58.16
BG,IND_DEG3,2021,17.42
BG,IND_DEG3,2023,20.93
BG,IND_DEG3,2025,24.81
CH,IND_DEG3,2021,73.33
CH,IND_DEG3,2023,78.38
CH,IND_DEG3,2025,74.59
CY,IND_DEG3,2021,43.78
CY,IND_DEG3,2023,48.96
CY,IND_DEG3,2025,55.91
CZ,IND_DEG3,2021,54.03
CZ,IND_DEG3,2023,65.52
CZ,IND_DEG3,2025,66.39
DE,IND_DEG3,2021,45.21
DE,IND_DEG3,2023,46.65
DE,IND_DEG3,2025,51.89
DK,IND_DEG3,2021,59.77
DK,IND_DEG3,2023,64.14
DK,IND_DEG3,2025,76.71
EA,IND_DEG3,2021,50.51
EA,IND_DEG3,2023,51.55
EA,IND_DEG3,2025,57.56
EE,IND_DEG3,2021,52.11
EE,IND_DEG3,2023,56.99
EE,IND_DEG3,2025,59.16
EL,IND_DEG3,2021,34.71
EL,IND_DEG3,2023,36.04
EL,IND_DEG3,2025,35.47
ES,IND_DEG3,2021,55.37
ES,IND_DEG3,2023,56.50
ES,IND_DEG3,2025,60.92
EU27_2020,IND_DEG3,2021,45.72
EU27_2020,IND_DEG3,2023,47.50
EU27_2020,IND_DEG3,2025,52.83
FI,IND_DEG3,2021,74.23
FI,IND_DEG3,2023,74.02
FI,IND_DEG3,2025,71.47
FR,IND_DEG3,2021,56.67
FR,IND_DEG3,2023,56.17
FR,IND_DEG3,2025,63.81
HR,IND_DEG3,2021,56.45
HR,IND_DEG3,2023,50.13
HR,IND_DEG3,2025,55.66
HU,IND_DEG3,2021,38.50
HU,IND_DEG3,2023,48.11
HU,IND_DEG3,2025,44.83
IE,IND_DEG3,2021,63.44
IE,IND_DEG3,2023,71.55
IE,IND_DEG3,2025,81.74
IS,IND_DEG3,2021,72.86
IT,IND_DEG3,2021,39.73
IT,IND_DEG3,2023,40.64
IT,IND_DEG3,2025,49.18
LT,IND_DEG3,2021,43.42
LT,IND_DEG3,2023,47.41
LT,IND_DEG3,2025,48.48
LU,IND_DEG3,2021,62.45
LU,IND_DEG3,2023,60.88
LU,IND_DEG3,2025,60.72
LV,IND_DEG3,2021,45.12
LV,IND_DEG3,2023,32.31
LV,IND_DEG3,2025,37.55
MK,IND_DEG3,2021,27.56
MK,IND_DEG3,2025,11.86
MT,IND_DEG3,2021,52.63
MT,IND_DEG3,2023,59.06
MT,IND_DEG3,2025,63.64
NL,IND_DEG3,2021,76.48
NL,IND_DEG3,2023,80.06
NL,IND_DEG3,2025,78.41
NO,IND_DEG3,2021,74.86
NO,IND_DEG3,2023,74.56
NO,IND_DEG3,2025,76.36
PL,IND_DEG3,2021,34.24
PL,IND_DEG3,2023,33.17
PL,IND_DEG3,2025,40.97
PT,IND_DEG3,2021,40.56
PT,IND_DEG3,2023,43.70
PT,IND_DEG3,2025,49.29
RO,IND_DEG3,2021,18.30
RO,IND_DEG3,2023,20.99
RO,IND_DEG3,2025,22.12
SE,IND_DEG3,2021,57.50
SE,IND_DEG3,2023,52.93
SE,IND_DEG3,2025,62.59
SI,IND_DEG3,2021,44.45
SI,IND_DEG3,2023,42.41
SI,IND_DEG3,2025,43.48
SK,IND_DEG3,2021,48.78
SK,IND_DEG3,2023,44.03
SK,IND_DEG3,2025,45.59
TR,IND_DEG3,2025,14.61
XK,IND_DEG3,2025,70.81
AL,IND_TOTAL,2021,23.80
AL,IND_TOTAL,2023,23.32
AL,IND_TOTAL,2025,27.65
AT,IND_TOTAL,2021,63.33
AT,IND_TOTAL,2023,64.68
AT,IND_TOTAL,2025,69.77
BA,IND_TOTAL,2021,34.65
BA,IND_TOTAL,2023,30.08
BA,IND_TOTAL,2025,36.25
BE,IND_TOTAL,2021,54.23
BE,IND_TOTAL,2023,59.39
BE,IND_TOTAL,2025,61.22
BG,IND_TOTAL,2021,31.18
BG,IND_TOTAL,2023,35.52
BG,IND_TOTAL,2025,38.26
CH,IND_TOTAL,2021,77.79
CH,IND_TOTAL,2023,77.52
CH,IND_TOTAL,2025,78.01
CY,IND_TOTAL,2021,50.21
CY,IND_TOTAL,2023,49.46
CY,IND_TOTAL,2025,55.75
CZ,IND_TOTAL,2021,59.69
CZ,IND_TOTAL,2023,69.11
CZ,IND_TOTAL,2025,70.45
DE,IND_TOTAL,2021,48.92
DE,IND_TOTAL,2023,52.22
DE,IND_TOTAL,2025,59.55
DK,IND_TOTAL,2021,68.65
DK,IND_TOTAL,2023,69.62
DK,IND_TOTAL,2025,81.45
EA,IND_TOTAL,2021,56.34
EA,IND_TOTAL,2023,57.57
EA,IND_TOTAL,2025,62.60
EE,IND_TOTAL,2021,56.37
EE,IND_TOTAL,2023,62.61
EE,IND_TOTAL,2025,62.52
EL,IND_TOTAL,2021,52.48
EL,IND_TOTAL,2023,52.40
EL,IND_TOTAL,2025,50.96
ES,IND_TOTAL,2021,64.16
ES,IND_TOTAL,2023,66.18
ES,IND_TOTAL,2025,66.50
EU27_2020,IND_TOTAL,2021,53.92
EU27_2020,IND_TOTAL,2023,55.56
EU27_2020,IND_TOTAL,2025,60.40
FI,IND_TOTAL,2021,79.18
FI,IND_TOTAL,2023,81.99
FI,IND_TOTAL,2025,80.98
FR,IND_TOTAL,2021,61.96
FR,IND_TOTAL,2023,59.67
FR,IND_TOTAL,2025,65.74
HR,IND_TOTAL,2021,63.37
HR,IND_TOTAL,2023,58.95
HR,IND_TOTAL,2025,63.38
HU,IND_TOTAL,2021,49.09
HU,IND_TOTAL,2023,58.89
HU,IND_TOTAL,2025,57.32
IE,IND_TOTAL,2021,70.49
IE,IND_TOTAL,2023,72.91
IE,IND_TOTAL,2025,82.82
IS,IND_TOTAL,2021,80.99
IT,IND_TOTAL,2021,45.60
IT,IND_TOTAL,2023,45.75
IT,IND_TOTAL,2025,54.27
LT,IND_TOTAL,2021,48.84
LT,IND_TOTAL,2023,52.91
LT,IND_TOTAL,2025,53.80
LU,IND_TOTAL,2021,63.79
LU,IND_TOTAL,2023,60.14
LU,IND_TOTAL,2025,62.40
LV,IND_TOTAL,2021,50.80
LV,IND_TOTAL,2023,45.34
LV,IND_TOTAL,2025,48.43
ME,IND_TOTAL,2021,47.21
ME,IND_TOTAL,2023,52.02
ME,IND_TOTAL,2025,44.20
MK,IND_TOTAL,2021,34.62
MK,IND_TOTAL,2025,28.50
MT,IND_TOTAL,2021,61.23
MT,IND_TOTAL,2023,62.78
MT,IND_TOTAL,2025,66.80
NL,IND_TOTAL,2021,78.94
NL,IND_TOTAL,2023,82.70
NL,IND_TOTAL,2025,83.61
NO,IND_TOTAL,2021,78.71
NO,IND_TOTAL,2023,81.09
NO,IND_TOTAL,2025,79.80
PL,IND_TOTAL,2021,42.93
PL,IND_TOTAL,2023,44.30
PL,IND_TOTAL,2025,50.42
PT,IND_TOTAL,2021,55.31
PT,IND_TOTAL,2023,55.97
PT,IND_TOTAL,2025,59.15
RO,IND_TOTAL,2021,27.82
RO,IND_TOTAL,2023,27.73
RO,IND_TOTAL,2025,31.84
RS,IND_TOTAL,2021,41.30
RS,IND_TOTAL,2023,33.61
RS,IND_TOTAL,2025,42.02
SE,IND_TOTAL,2021,66.60
SE,IND_TOTAL,2023,66.44
SE,IND_TOTAL,2025,69.99
SI,IND_TOTAL,2021,49.67
SI,IND_TOTAL,2023,46.70
SI,IND_TOTAL,2025,46.50
SK,IND_TOTAL,2021,55.18
SK,IND_TOTAL,2023,51.31
SK,IND_TOTAL,2025,53.56
TR,IND_TOTAL,2021,30.12
TR,IND_TOTAL,2023,33.11
TR,IND_TOTAL,2025,31.49
XK,IND_TOTAL,2025,75.59
